BCS6769,EGLL,EDDP,A306,11:00,,616,,,
DAL51,EGLL,KBOS,B764,11:00,,336,,,
SIA317,EGLL,WSSS,A388,10:55,,242,,,
SHT2Q,EGLL,EGCC,A320,10:50,,509,,,
CCA646,EGLL,ZUCK,B789,10:50,,212,,,
BAW185,EGLL,KEWR,B789,10:45,,545,,,
BAW11M,EGLL,KSFO,B77W,10:45,,545,,,
DKH1640,EGLL,ZSPD,B789,10:45,,256,,,
KAC104,EGLL,OKBK,B77W,10:45,,233,,,
CCA576,EGLL,ZBAA,B789,10:45,,209,,,
BAW255,EGLL,TBPB,B77W,10:40,,556,,,
VIR117F,EGLL,KMIA,B789,10:40,,322,,,
VIR7B,EGLL,KLAX,B789,10:40,,313,,,
AAL87,EGLL,KORD,B772,10:35,,335,,,
SZS526,EGLL,ESSA,A20N,10:35,,223,,,
ATG4411,EGLL,LUKK,B744,10:30,,607,,,
IBE3163,EGLL,LEMD,A359,10:30,,565,,,
BAW2744,EGLL,LSGG,A320,10:30,,524,,,
MAS3,EGLL,WMKK,A359,10:25,,246,,,
UAL929,EGLL,KORD,B763,10:25,,231,,,
WIF53M,EGLL,ENBR,E290,10:25,,219,,,
LOT282,EGLL,EPWA,B38M,10:25,,218L,,,
ITY229,EGLL,LIML,A320,10:25,,216,,,
BAW88L,EGLL,LIML,A320,10:20,,590,,,
BAW65,EGLL,HKJK,B772,10:20,,552,,,
BAW364,EGLL,LFLL,A320,10:20,,512,,,
FIN7KL,EGLL,EFHK,A321,10:20,,307,,,
SAS804,EGLL,ENGM,A20N,10:20,,225,,,
AAL135,EGLL,KLAX,B77W,10:15,,332,,,
DAL31,EGLL,KATL,A333,10:15,,329,,,
BAW492U,EGLL,LXGB,A320,10:15,,311,,,
DAL2,EGLL,KJFK,B764,10:10,,325,,,
MEA234,EGLL,OLBA,A21N,10:10,,303R,,,
BAW886Q,EGLL,LROP,A320,10:05,,506,,,
AAL109,EGLL,KBOS,B772,10:05,,318,,,
SHT6T,EGLL,EGPF,A320,10:00,,511,,,
SVA110,EGLL,OERK,B77W,10:00,,236,,,
UAL15,EGLL,KEWR,B763,10:00,,232,,,
EIN931,EGLL,EGAC,A320,10:00,,221L,,,
AAL21,EGLL,KDFW,B77W,09:55,,327,,,
SZS502,EGLL,EKCH,A20N,09:55,,223,,,
EIN71Y,EGLL,EICK,A320,09:55,,221R,,,
BAW17A,EGLL,KJFK,B772,09:50,,583,,,
